id_booking,tanggal,id_paket,nama_peserta,jumlah_orang,total_harga,status
BKG-HTL-20260723211936-HTL-3942,2026-07-23,HTL-3942,Azkia Akbar,1,0,Dikonfirmasi (Menunggu Bayar)
BKG-HTL-20260723220208-HTL-9048,2026-07-23,HTL-9048,tama,1,449999.99999999994,Dikonfirmasi (Menunggu Bayar)
BKG-HTL-20260723220208-HTL-9048,2026-07-23,HTL-9048,tama,1,449999.99999999994,Lunas
BKG-TRN-20260723225826-TRN-7653,2026-07-23,TRN-7653,budi,1,800000.0,Dikonfirmasi (Menunggu Bayar)
BKG-TRN-20260723225826-TRN-7653,2026-07-23,TRN-7653,budi,1,800000.0,Lunas
BKG-WST-20260723230515-WST-4518,2026-07-23,WST-4518,anjay,6,30000.0,Dikonfirmasi (Menunggu Bayar)
BKG-WST-20260723230515-WST-4518,2026-07-23,WST-4518,anjay,6,30000.0,Lunas
BKG-HTL-20260724012104-HTL-6662,2026-07-24,HTL-6662,tama,1,320000.0,Dikonfirmasi (Menunggu Bayar)
BKG-HTL-20260724012104-HTL-6662,2026-07-24,HTL-6662,tama,1,320000.0,Lunas
BKG-HTL-20260724012554-HTL-6662,2026-07-24,HTL-6662,kkjhe,1,320000.0,Dikonfirmasi (Menunggu Bayar)
BKG-HTL-20260724013039-HTL-6662,2026-07-24,HTL-6662,kkchal,1,320000.0,Dikonfirmasi (Menunggu Bayar)
BKG-HTL-20260724013039-HTL-6662,2026-07-24,HTL-6662,kkchal,1,320000.0,Lunas
BKG-20260724174702-PKG-7653,2026-07-24,PKG-7653,Test Refund Customer,1,13600000.0,Dikonfirmasi (Menunggu Bayar)
BKG-20260724174702-PKG-7653,2026-07-24,PKG-7653,Test Refund Customer,1,13600000.0,Lunas
BKG-20260724174702-PKG-7653,2026-07-24,PKG-7653,Test Refund Customer,1,-11560000.0,Dibatalkan (Refund)
